"newmoonnumber","censusdate","year","month","time","y"
69,1983-01-12,1983,1,1,0
70,1983-02-26,1983,2,2,0
71,1983-03-14,1983,3,3,0
72,1983-04-16,1983,4,4,0
73,1983-05-14,1983,5,5,0
74,1983-06-17,1983,6,6,0
75,1983-07-16,1983,7,7,1
76,1983-08-15,1983,8,8,1
77,1983-09-10,1983,9,9,0
78,1983-10-15,1983,10,10,0
79,1983-11-12,1983,11,11,0
80,1983-12-08,1983,12,12,0
81,1984-01-02,1984,1,13,NA
82,1984-02-04,1984,2,14,0
83,1984-03-12,1984,3,15,0
84,1984-04-09,1984,4,16,0
85,1984-04-30,1984,4,17,NA
86,1984-05-27,1984,5,18,0
87,1984-07-03,1984,7,19,0
88,1984-07-31,1984,7,20,0
89,1984-08-25,1984,8,21,0
90,1984-09-29,1984,9,22,0
91,1984-10-20,1984,10,23,0
92,1984-11-22,1984,11,24,NA
93,1984-12-30,1984,12,25,0
94,1985-01-19,1985,1,26,0
95,1985-02-16,1985,2,27,0
96,1985-03-16,1985,3,28,0
97,1985-04-19,1985,4,29,NA
98,1985-05-23,1985,5,30,0
99,1985-06-15,1985,6,31,0
100,1985-07-23,1985,7,32,0
101,1985-08-19,1985,8,33,1
102,1985-09-21,1985,9,34,1
103,1985-10-12,1985,10,35,0
104,1985-11-16,1985,11,36,0
105,1985-12-07,1985,12,37,0
106,1986-01-10,1986,1,38,NA
107,1986-02-08,1986,2,39,NA
108,1986-03-08,1986,3,40,1
109,1986-04-12,1986,4,41,0
110,1986-05-10,1986,5,42,0
111,1986-06-04,1986,6,43,0
112,1986-07-03,1986,7,44,0
113,1986-08-09,1986,8,45,0
114,1986-09-06,1986,9,46,0
115,1986-10-04,1986,10,47,0
116,1986-11-15,1986,11,48,0
117,1986-12-14,1986,12,49,0
118,1986-12-30,1986,12,50,NA
119,1987-01-31,1987,1,51,0
120,1987-03-01,1987,3,52,0
121,1987-04-04,1987,4,53,2
122,1987-04-25,1987,4,54,1
123,1987-05-28,1987,5,55,1
124,1987-06-30,1987,6,56,0
125,1987-07-25,1987,7,57,1
126,1987-08-25,1987,8,58,0
127,1987-09-26,1987,9,59,1
128,1987-10-24,1987,10,60,0
129,1987-11-21,1987,11,61,0
130,1987-12-20,1987,12,62,NA
131,1988-01-23,1988,1,63,0
132,1988-02-21,1988,2,64,0
133,1988-03-20,1988,3,65,1
134,1988-04-17,1988,4,66,1
135,1988-05-14,1988,5,67,1
136,1988-06-11,1988,6,68,1
