"","last_train","model","DRPS","Coverage","DRPS_rank","Coverage_rank"
"1",436,"Latent NDVI based model",29.86616425,0.916666666666667,2,2
"2",436,"Average NDVI based model",25.56169325,1,1,1
"3",437,"Latent NDVI based model",33.18401025,0.916666666666667,2,2
"4",437,"Average NDVI based model",29.72952725,1,1,1
"5",438,"Latent NDVI based model",39.222483,0.916666666666667,1,2
"6",438,"Average NDVI based model",42.1077565,1,2,1
"7",439,"Latent NDVI based model",35.12612125,0.916666666666667,1,2
"8",439,"Average NDVI based model",38.21987725,1,2,1
"9",440,"Latent NDVI based model",31.0663025,0.916666666666667,1,2
"10",440,"Average NDVI based model",33.7608845,1,2,1
"11",441,"Latent NDVI based model",25.684319,1,1,1.5
"12",441,"Average NDVI based model",34.522876,1,2,1.5
"13",442,"Latent NDVI based model",32.44424625,1,1,1.5
"14",442,"Average NDVI based model",34.68066075,1,2,1.5
"15",443,"Latent NDVI based model",36.93583675,0.916666666666667,1,2
"16",443,"Average NDVI based model",38.766828,1,2,1
"17",444,"Latent NDVI based model",30.212731,0.916666666666667,1,1.5
"18",444,"Average NDVI based model",39.671934,0.916666666666667,2,1.5
"19",445,"Latent NDVI based model",28.302518,1,1,1.5
"20",445,"Average NDVI based model",30.11390375,1,2,1.5
"21",446,"Latent NDVI based model",36.23705525,1,1,1.5
"22",446,"Average NDVI based model",37.49359225,1,2,1.5
"23",447,"Latent NDVI based model",39.45417675,1,2,1.5
"24",447,"Average NDVI based model",36.1996955,1,1,1.5
"25",448,"Latent NDVI based model",40.1754415,0.916666666666667,2,2
"26",448,"Average NDVI based model",33.981071,1,1,1
"27",449,"Latent NDVI based model",41.33399525,1,2,1.5
"28",449,"Average NDVI based model",41.00858225,1,1,1.5
"29",450,"Latent NDVI based model",33.1317005,1,1,1.5
"30",450,"Average NDVI based model",33.8746135,1,2,1.5
"31",451,"Latent NDVI based model",31.32474675,1,2,1.5
"32",451,"Average NDVI based model",31.05075225,1,1,1.5
"33",452,"Latent NDVI based model",31.77413475,1,2,1.5
"34",452,"Average NDVI based model",31.32614075,1,1,1.5
"35",453,"Latent NDVI based model",29.1825875,1,2,1.5
"36",453,"Average NDVI based model",28.93964425,1,1,1.5
"37",454,"Latent NDVI based model",25.72818575,1,1,1.5
"38",454,"Average NDVI based model",27.504991,1,2,1.5
"39",455,"Latent NDVI based model",23.64377775,1,1,1.5
"40",455,"Average NDVI based model",26.41720175,1,2,1.5
"41",456,"Latent NDVI based model",27.671274,1,1,1.5
"42",456,"Average NDVI based model",28.73831025,1,2,1.5
"43",457,"Latent NDVI based model",62.57922125,0.333333333333333,2,2
"44",457,"Average NDVI based model",28.28050975,0.916666666666667,1,1
"45",458,"Latent NDVI based model",25.10947425,1,2,1.5
"46",458,"Average NDVI based model",25.00725625,1,1,1.5
"47",459,"Latent NDVI based model",26.809764,1,2,1.5
"48",459,"Average NDVI based model",26.436449,1,1,1.5
"49",460,"Latent NDVI based model",37.097657,0.916666666666667,2,2
"50",460,"Average NDVI based model",27.2779385,1,1,1
"51",461,"Latent NDVI based model",26.24205425,1,2,1.5
"52",461,"Average NDVI based model",26.13946075,1,1,1.5
"53",462,"Latent NDVI based model",30.406626,0.916666666666667,2,2
"54",462,"Average NDVI based model",27.82492225,1,1,1
"55",463,"Latent NDVI based model",28.408495,1,1,1.5
"56",463,"Average NDVI based model",29.3086195,1,2,1.5
"57",464,"Latent NDVI based model",28.962716,1,1,1.5
"58",464,"Average NDVI based model",31.1632045,1,2,1.5
"59",465,"Latent NDVI based model",40.98832125,0.583333333333333,2,2
"60",465,"Average NDVI based model",33.22475025,1,1,1
"61",466,"Latent NDVI based model",28.779355,1,1,1.5
"62",466,"Average NDVI based model",34.2503475,1,2,1.5
"63",467,"Latent NDVI based model",26.50107375,1,1,1.5
"64",467,"Average NDVI based model",35.39692625,1,2,1.5
"65",468,"Latent NDVI based model",28.368907,1,1,1.5
"66",468,"Average NDVI based model",36.18551875,1,2,1.5
"67",469,"Latent NDVI based model",38.718135,1,2,1.5
"68",469,"Average NDVI based model",36.83316875,1,1,1.5
"69",470,"Latent NDVI based model",56.87537975,0.416666666666667,2,2
"70",470,"Average NDVI based model",37.88523775,1,1,1
"71",471,"Latent NDVI based model",57.36822325,0.416666666666667,2,2
"72",471,"Average NDVI based model",39.07931875,1,1,1
"73",472,"Latent NDVI based model",60.713028,0.333333333333333,2,2
"74",472,"Average NDVI based model",38.77262275,1,1,1
"75",473,"Latent NDVI based model",58.61027725,0.25,2,2
"76",473,"Average NDVI based model",37.0304995,1,1,1
"77",474,"Latent NDVI based model",48.807914,0.75,2,2
"78",474,"Average NDVI based model",37.4924325,1,1,1
"79",475,"Latent NDVI based model",32.91093325,1,1,1.5
"80",475,"Average NDVI based model",35.7358555,1,2,1.5
"81",476,"Latent NDVI based model",30.5567395,1,1,1.5
"82",476,"Average NDVI based model",30.78807225,1,2,1.5
"83",477,"Latent NDVI based model",27.27905125,1,1,1.5
"84",477,"Average NDVI based model",30.17446025,1,2,1.5
"85",478,"Latent NDVI based model",39.795788,1,2,1.5
"86",478,"Average NDVI based model",29.38775225,1,1,1.5
"87",479,"Latent NDVI based model",57.41909125,1,2,1.5
"88",479,"Average NDVI based model",38.56336325,1,1,1.5
