"","model","DRPS","Coverage","last_train","DRPS_rank","Coverage_rank"
"1","1_source",58.5801645833333,0.833333333333333,200,4,2.5
"2","2_sources",47.25224375,0.75,200,3,4
"3","3_sources",45.3836159722222,0.833333333333333,200,2,2.5
"4","4_sources",40.2343013888889,1,200,1,1
"5","1_source",38.9553138888889,1,208,3,2
"6","2_sources",41.0386548611111,0.666666666666667,208,4,4
"7","3_sources",36.2523270833333,1,208,1,2
"8","4_sources",36.9204722222222,1,208,2,2
"9","1_source",35.7489520833333,1,213,1,2
"10","2_sources",52.3508930555556,0.666666666666667,213,2,4
"11","3_sources",54.8154861111111,1,213,3,2
"12","4_sources",82.6748381944444,1,213,4,2
"13","1_source",28.1719798611111,1,218,1,2.5
"14","2_sources",40.0477423611111,1,218,2,2.5
"15","3_sources",55.6123756944444,1,218,4,2.5
"16","4_sources",40.7344833333333,1,218,3,2.5
"17","1_source",60.7092347222222,1,219,3,2.5
"18","2_sources",35.9984791666667,1,219,2,2.5
"19","3_sources",75.76394375,1,219,4,2.5
"20","4_sources",33.1206520833333,1,219,1,2.5
"21","1_source",51.7398013888889,0.5,220,3,4
"22","2_sources",39.9993881944444,0.916666666666667,220,1,3
"23","3_sources",40.7377548611111,1,220,2,1.5
"24","4_sources",70.0862875,1,220,4,1.5
"25","1_source",42.9866,1,223,4,2.5
"26","2_sources",33.1730090277778,1,223,1,2.5
"27","3_sources",35.2968708333333,1,223,2,2.5
"28","4_sources",41.0000006944444,1,223,3,2.5
"29","1_source",46.3146888888889,0.75,225,3,3
"30","2_sources",41.4824229166667,1,225,1,1.5
"31","3_sources",55.1515645833333,0.416666666666667,225,4,4
"32","4_sources",45.5260666666667,1,225,2,1.5
"33","1_source",31.9342138888889,1,228,1,2.5
"34","2_sources",32.6135930555556,1,228,2,2.5
"35","3_sources",39.2898138888889,1,228,4,2.5
"36","4_sources",37.4316868055556,1,228,3,2.5
"37","1_source",33.3166652777778,1,229,4,2.5
"38","2_sources",32.0657909722222,1,229,3,2.5
"39","3_sources",31.5053520833333,1,229,2,2.5
"40","4_sources",30.7396451388889,1,229,1,2.5
"41","1_source",31.7387277777778,1,230,2,2.5
"42","2_sources",31.9301409722222,1,230,3,2.5
"43","3_sources",36.0327819444444,1,230,4,2.5
"44","4_sources",31.1055256944444,1,230,1,2.5
"45","1_source",30.52690625,1,232,1,1.5
"46","2_sources",52.8734055555556,0.5,232,4,4
"47","3_sources",44.0493215277778,0.833333333333333,232,3,3
"48","4_sources",32.0251326388889,1,232,2,1.5
"49","1_source",56.8428722222222,0.833333333333333,237,3,3
"50","2_sources",43.1825743055556,0.916666666666667,237,2,2
"51","3_sources",64.7880861111111,0.166666666666667,237,4,4
"52","4_sources",41.5156506944444,1,237,1,1
"53","1_source",44.4532472222222,0.916666666666667,239,4,4
"54","2_sources",34.1531986111111,1,239,2,2
"55","3_sources",37.1566513888889,1,239,3,2
